word,freq,pos,syll
newspaper,17,noun,3
relationship,17,noun,4
teaching,17,noun,2
cell,16,noun,1
dealer,16,noun,2
finding,16,noun,2
lake,16,noun,1
member,16,noun,2
message,16,noun,3
phone,16,noun,2
scene,16,noun,2
appearance,15,noun,4
association,15,noun,4
concept,15,noun,2
customer,15,noun,3
death,15,noun,1
discussion,15,noun,3
housing,15,noun,2
inflation,15,noun,3
insurance,15,noun,4
mood,15,noun,1
woman,15,noun,2
advice,14,noun,3
blood,14,noun,1
effort,14,noun,2
expression,14,noun,3
importance,14,noun,4
opinion,14,noun,3
payment,14,noun,2
reality,14,noun,3
responsibility,14,noun,6
situation,14,noun,3
skill,14,noun,1
statement,14,noun,3
wealth,14,noun,1
application,13,noun,4
city,13,noun,2
county,13,noun,2
depth,13,noun,1
estate,13,noun,3
foundation,13,noun,3
grandmother,13,noun,3
heart,13,noun,1
perspective,13,noun,4
photo,13,noun,2
recipe,13,noun,3
studio,13,noun,2
topic,13,noun,2
collection,12,noun,3
depression,12,noun,3
imagination,12,noun,5
passion,12,noun,2
percentage,12,noun,4
resource,12,noun,3
setting,12,noun,2
ad,11,noun,1
agency,11,noun,3
college,11,noun,3
connection,11,noun,3
criticism,11,noun,3
debt,11,noun,1
description,11,noun,3
memory,11,noun,3
patience,11,noun,3
secretary,11,noun,4
solution,11,noun,3
administration,10,noun,5
aspect,10,noun,2
attitude,10,noun,4
director,10,noun,3
personality,10,noun,5
psychology,10,noun,4
recommendation,10,noun,5
response,10,noun,3
selection,10,noun,3
storage,10,noun,3
version,10,noun,2
alcohol,9,noun,3
argument,9,noun,3
complaint,9,noun,2
contract,9,noun,2
emphasis,9,noun,3
highway,9,noun,2
loss,9,noun,1
membership,9,noun,3
possession,9,noun,3
preparation,9,noun,4
steak,9,noun,1
union,9,noun,2
agreement,8,noun,3
cancer,8,noun,2
currency,8,noun,3
employment,8,noun,3
engineering,8,noun,4
entry,8,noun,2
interaction,8,noun,4
mixture,8,noun,3
preference,8,noun,4
region,8,noun,2
republic,8,noun,3
tradition,8,noun,3
virus,8,noun,2
actor,7,noun,2
classroom,7,noun,2
delivery,7,noun,4
device,7,noun,3
difficulty,7,noun,4
drama,7,noun,2
election,7,noun,3
engine,7,noun,3
football,7,noun,2
guidance,7,noun,3
hotel,7,noun,2
owner,7,noun,2
priority,7,noun,3
protection,7,noun,3
suggestion,7,noun,3
tension,7,noun,2
variation,7,noun,3
anxiety,6,noun,3
atmosphere,6,noun,4
awareness,6,noun,4
bath,6,noun,1
bread,6,noun,1
candidate,6,noun,4
climate,6,noun,3
comparison,6,noun,4
confusion,6,noun,3
construction,6,noun,3
elevator,6,noun,4
emotion,6,noun,3
employee,6,noun,2
employer,6,noun,2
guest,6,noun,1
height,6,noun,1
leadership,6,noun,3
mall,6,noun,1
manager,6,noun,3
operation,6,noun,4
recording,6,noun,3
sample,6,noun,2
transportation,6,noun,4
charity,5,noun,3
cousin,5,noun,2
disaster,5,noun,3
editor,5,noun,3
efficiency,5,noun,4
excitement,5,noun,4
extent,5,noun,2
feedback,5,noun,2
guitar,5,noun,2
homework,5,noun,3
leader,5,noun,2
mom,5,noun,1
outcome,5,noun,3
permission,5,noun,3
presentation,5,noun,4
promotion,5,noun,3
reflection,5,noun,3
refrigerator,5,noun,5
resolution,5,noun,4
revenue,5,noun,3
session,5,noun,2
singer,5,noun,2
tennis,5,noun,2
basket,4,noun,2
bonus,4,noun,2
cabinet,4,noun,3
childhood,4,noun,2
church,4,noun,1
clothes,4,noun,2
coffee,4,noun,2
dinner,4,noun,2
drawing,4,noun,2
hair,4,noun,1
hearing,4,noun,2
initiative,4,noun,5
judgment,4,noun,2
lab,4,noun,1
measurement,4,noun,4
mode,4,noun,1
mud,4,noun,1
orange,4,noun,3
poetry,4,noun,2
police,4,noun,3
possibility,4,noun,5
procedure,4,noun,4
queen,4,noun,1
ratio,4,noun,2
relation,4,noun,3
restaurant,4,noun,3
satisfaction,4,noun,4
sector,4,noun,2
signature,4,noun,4
significance,4,noun,5
song,4,noun,1
tooth,4,noun,1
town,4,noun,1
vehicle,4,noun,3
volume,4,noun,3
wife,4,noun,1
accident,3,noun,3
airport,3,noun,2
appointment,3,noun,3
arrival,3,noun,3
assumption,3,noun,3
baseball,3,noun,3
chapter,3,noun,2
committee,3,noun,3
conversation,3,noun,4
database,3,noun,4
enthusiasm,3,noun,3
error,3,noun,2
explanation,3,noun,4
farmer,3,noun,2
gate,3,noun,1
girl,3,noun,1
hall,3,noun,1
historian,3,noun,3
hospital,3,noun,3
injury,3,noun,3
instruction,3,noun,3
maintenance,3,noun,4
manufacturer,3,noun,5
meal,3,noun,1
perception,3,noun,3
pie,3,noun,1
poem,3,noun,1
presence,3,noun,3
proposal,3,noun,3
reception,3,noun,3
replacement,3,noun,4
revolution,3,noun,4
river,3,noun,2
son,3,noun,1
speech,3,noun,1
tea,3,noun,1
village,3,noun,3
warning,3,noun,2
winner,3,noun,2
worker,3,noun,2
writer,3,noun,2
assistance,2,noun,4
breath,2,noun,1
buyer,2,noun,1
chest,2,noun,1
chocolate,2,noun,4
conclusion,2,noun,3
contribution,2,noun,4
cookie,2,noun,2
courage,2,noun,3
dad,2,noun,1
desk,2,noun,1
drawer,2,noun,2
establishment,2,noun,4
examination,2,noun,5
garbage,2,noun,3
grocery,2,noun,3
honey,2,noun,2
impression,2,noun,3
improvement,2,noun,4
independence,2,noun,5
insect,2,noun,2
inspection,2,noun,3
inspector,2,noun,3
king,2,noun,1
ladder,2,noun,2
menu,2,noun,2
penalty,2,noun,3
piano,2,noun,2
potato,2,noun,3
profession,2,noun,3
professor,2,noun,3
quantity,2,noun,3
reaction,2,noun,2
requirement,2,noun,4
salad,2,noun,2
sister,2,noun,2
supermarket,2,noun,4
tongue,2,noun,2
weakness,2,noun,2
wedding,2,noun,2
affair,1,noun,2
ambition,1,noun,3
analyst,1,noun,3
apple,1,noun,2
assignment,1,noun,3
assistant,1,noun,3
bathroom,1,noun,2
bedroom,1,noun,2
beer,1,noun,1
birthday,1,noun,2
celebration,1,noun,4
championship,1,noun,3
cheek,1,noun,1
client,1,noun,2
consequence,1,noun,4
departure,1,noun,4
diamond,1,noun,2
dirt,1,noun,1
ear,1,noun,1
fortune,1,noun,3
friendship,1,noun,2
funeral,1,noun,3
gene,1,noun,2
girlfriend,1,noun,2
hat,1,noun,1
indication,1,noun,4
intention,1,noun,3
lady,1,noun,2
midnight,1,noun,2
negotiation,1,noun,4
obligation,1,noun,4
passenger,1,noun,3
pizza,1,noun,2
platform,1,noun,2
poet,1,noun,1
pollution,1,noun,3
recognition,1,noun,4
reputation,1,noun,4
shirt,1,noun,1
sir,1,noun,1
speaker,1,noun,2
stranger,1,noun,2
surgery,1,noun,3
sympathy,1,noun,3
tale,1,noun,1
throat,1,noun,1
trainer,1,noun,2
uncle,1,noun,2
youth,1,noun,1
time,369,"noun,adjective,verb",1
work,224,"noun,adjective,verb",1
film,209,"noun,verb",1
water,201,"noun,verb,adjective",2
money,174,"noun,adjective",2
example,147,"noun,verb",3
while,147,"noun,conjunction,preposition",2
business,127,"noun,adjective",3
study,118,"noun,verb",2
game,117,"noun,adjective,verb",1
life,107,"noun,adjective",1
form,99,"noun,verb",1
air,98,"noun,verb",1
day,98,"noun,adjective",1
place,98,"noun,verb",2
number,97,"noun,verb",2
part,96,"noun,verb,adverb",1
field,95,"noun,verb,adjective",1
fish,92,"noun,verb",1
back,86,"noun,adverb,verb",1
process,85,"noun,verb",2
heat,84,"noun,verb",1
hand,81,"noun,verb",1
experience,80,"noun,verb",4
job,80,"noun,verb",1
book,77,"noun,verb",1
end,76,"noun,verb",1
point,74,"noun,verb",1
type,74,"noun,verb",2
home,72,"noun,adjective,adverb",1
economy,71,"noun,adjective",4
value,70,"noun,verb",2
body,69,"noun,verb",2
market,69,"noun,verb",2
guide,68,"noun,verb",2
interest,67,"noun,verb",3
state,63,"noun,verb",2
radio,62,"noun,verb",2
course,61,"noun,verb",2
company,60,"noun,verb",3
price,60,"noun,verb",2
size,60,"noun,verb,adjective",1
card,58,"noun,verb",1
list,58,"noun,verb",1
mind,58,"noun,verb",1
trade,58,"noun,verb",2
line,56,"noun,verb",1
care,55,"noun,verb",1
group,55,"noun,verb",1
risk,55,"noun,verb",1
word,55,"noun,verb,interjection",1
fat,54,"noun,adjective,verb",1
force,54,"noun,verb",2
key,54,"noun,adjective,verb",1
light,54,"noun,verb,adjective",1
training,54,"noun,adjective",2
name,53,"noun,verb,adjective",1
school,53,"noun,verb",1
top,53,"noun,adjective,verb",1
amount,51,"noun,verb",2
level,51,"noun,adjective,verb",2
order,51,"noun,verb",2
practice,51,"noun,verb",3
research,51,"noun,verb",2
sense,51,"noun,verb",2
service,51,"noun,verb",3
piece,50,"noun,verb",2
web,49,"noun,verb",1
boss,48,"noun,verb,adjective",1
sport,47,"noun,verb",1
fun,46,"noun,adjective,verb",1
house,46,"noun,adjective,verb",2
page,46,"noun,verb",1
term,46,"noun,verb",1
test,46,"noun,verb",1
answer,45,"noun,verb",2
sound,45,"noun,verb,adjective",1
focus,44,"noun,verb",2
matter,44,"noun,verb",2
kind,43,"noun,adjective",1
soil,43,"noun,verb",1
board,42,"noun,verb",1
oil,42,"noun,verb",1
picture,42,"noun,verb",3
access,41,"noun,verb,adjective",2
garden,41,"noun,verb",2
range,41,"noun,verb",2
rate,41,"noun,verb",1
reason,41,"noun,verb",2
future,40,"noun,adjective",3
site,40,"noun,verb",1
demand,39,"noun,verb",2
exercise,39,"noun,verb",4
image,39,"noun,verb",3
case,38,"noun,verb",1
cause,38,"noun,verb",2
coast,38,"noun,verb",1
action,37,"noun,adjective",2
age,37,"noun,verb",2
bad,37,"noun,adverb,adjective",1
boat,37,"noun,verb",1
record,37,"noun,verb",2
result,37,"noun,verb",2
section,37,"noun,verb",2
building,36,"noun,verb",2
mouse,36,"noun,verb",2
cash,35,"noun,verb",1
class,35,"noun,verb,adjective",1
nothing,35,"noun,pronoun,adjective",2
period,35,"noun,adjective",2
plan,35,"noun,verb",1
store,35,"noun,verb",2
tax,35,"noun,verb",1
side,34,"noun,verb",1
subject,34,"noun,adjective,adverb",2
space,33,"noun,verb",2
rule,32,"noun,verb",1
stock,32,"noun,adjective,verb",1
weather,32,"noun,verb",2
chance,31,"noun,adjective,verb",2
figure,31,"noun,verb",3
man,31,"noun,verb,interjection",1
model,31,"noun,verb",2
source,31,"noun,verb",2
beginning,30,"noun,adjective,verb",3
earth,30,"noun,verb",1
program,30,"noun,verb",2
chicken,29,"noun,adjective",2
design,29,"noun,verb",2
feature,29,"noun,verb",3
head,29,"noun,adjective,verb",1
material,29,"noun,adjective",3
purpose,29,"noun,verb",3
question,29,"noun,verb",2
rock,29,"noun,verb",1
salt,29,"noun,adjective,verb",1
act,28,"noun,verb",1
birth,28,"noun,verb",1
car,28,"noun,adjective",1
dog,28,"noun,verb",1
object,28,"noun,verb",2
scale,28,"noun,verb",2
sun,28,"noun,verb",1
note,27,"noun,verb",1
profit,27,"noun,verb",2
rent,27,"noun,verb",1
speed,27,"noun,verb",1
style,27,"noun,verb",2
war,27,"noun,verb",1
bank,26,"noun,verb",1
craft,26,"noun,verb",1
half,26,"noun,predeterminer,adverb",1
inside,26,"noun,adjective,preposition",3
outside,26,"noun,adjective,preposition",3
standard,26,"noun,adjective",2
bus,25,"noun,verb",1
exchange,25,"noun,verb",3
eye,25,"noun,verb",1
fire,25,"noun,verb",1
position,25,"noun,verb",3
pressure,25,"noun,verb",3
stress,25,"noun,verb",1
advantage,24,"noun,verb",4
benefit,24,"noun,verb",3
box,24,"noun,verb",1
frame,24,"noun,verb",2
issue,24,"noun,verb",2
step,24,"noun,verb",1
cycle,23,"noun,verb",2
face,23,"noun,verb",1
item,23,"noun,adverb",2
metal,23,"noun,verb",2
paint,23,"noun,verb",1
review,23,"noun,verb",2
room,23,"noun,verb",1
screen,23,"noun,verb",1
structure,23,"noun,verb",3
view,23,"noun,verb",1
account,22,"noun,verb",2
ball,22,"noun,verb",1
discipline,22,"noun,verb",4
medium,22,"noun,adjective",2
share,22,"noun,verb",2
balance,21,"noun,verb",3
bit,21,"noun,verb",1
black,21,"noun,verb,adjective",1
bottom,21,"noun,verb,adjective",2
choice,21,"noun,adjective",2
gift,21,"noun,verb",1
impact,21,"noun,verb",2
machine,21,"noun,verb",3
shape,21,"noun,verb",2
tool,21,"noun,verb",1
wind,21,"noun,verb",1
address,20,"noun,verb",2
average,20,"noun,verb,adjective",4
career,20,"noun,verb,adjective",2
culture,20,"noun,verb",3
morning,20,"noun,adverb",2
pot,20,"noun,verb",1
sign,20,"noun,verb",1
table,20,"noun,verb",2
task,20,"noun,verb",1
condition,19,"noun,verb",3
contact,19,"noun,verb",2
credit,19,"noun,verb",2
egg,19,"noun,verb",1
hope,19,"noun,verb",1
ice,19,"noun,verb",2
network,19,"noun,verb",2
north,19,"noun,adjective,adverb",1
square,19,"noun,adjective,adverb",2
attempt,18,"noun,verb",2
date,18,"noun,verb",1
effect,18,"noun,verb",2
link,18,"noun,verb",1
post,18,"noun,verb,adverb",1
star,18,"noun,verb",1
voice,18,"noun,verb",2
capital,17,"noun,adjective",3
challenge,17,"noun,verb,adjective",3
friend,17,"noun,verb",1
self,17,"noun,pronoun,adjective",1
shot,17,"noun,adjective",1
brush,16,"noun,verb",1
couple,16,"noun,verb",2
debate,16,"noun,verb",3
exit,16,"noun,verb",2
front,16,"noun,adjective,verb",1
function,16,"noun,verb",2
lack,16,"noun,verb",1
living,16,"noun,adjective",2
plant,16,"noun,verb",1
plastic,16,"noun,adjective",2
spot,16,"noun,verb",1
summer,16,"noun,verb",2
taste,16,"noun,verb",2
theme,16,"noun,verb",2
track,16,"noun,verb",1
wing,16,"noun,verb",1
brain,15,"noun,verb",1
button,15,"noun,verb",2
click,15,"noun,verb",1
desire,15,"noun,verb",3
foot,15,"noun,verb",1
gas,15,"noun,verb",1
influence,15,"noun,verb",3
notice,15,"noun,verb",3
rain,15,"noun,verb",1
wall,15,"noun,verb",1
base,14,"noun,verb,adjective",1
damage,14,"noun,verb",3
distance,14,"noun,verb",3
feeling,14,"noun,adjective",2
pair,14,"noun,verb",1
savings,14,"noun,adjective,preposition",2
staff,14,"noun,verb",1
sugar,14,"noun,verb",2
target,14,"noun,verb",2
text,14,"noun,verb",1
animal,13,"noun,adjective",3
author,13,"noun,verb",2
budget,13,"noun,adjective,verb",2
discount,13,"noun,verb,adjective",2
file,13,"noun,verb",1
ground,13,"noun,verb,adjective",1
lesson,13,"noun,verb",2
minute,13,"noun,adjective,verb",3
officer,13,"noun,verb",3
phase,13,"noun,verb",2
reference,13,"noun,verb,adjective",4
register,13,"noun,verb",3
sky,13,"noun,verb",1
stage,13,"noun,verb",2
stick,13,"noun,verb",1
title,13,"noun,verb",2
trouble,13,"noun,verb",2
bowl,12,"noun,verb",1
bridge,12,"noun,verb",2
campaign,12,"noun,verb",2
character,12,"noun,adjective,verb",3
club,12,"noun,verb",1
edge,12,"noun,verb,idiom",2
evidence,12,"noun,verb,idiom",4
fan,12,"noun,verb,idiom",1
letter,12,"noun,verb,idiom",2
lock,12,"noun,verb,idiom",1
maximum,12,"noun,adjective",3
novel,12,"noun,adjective",2
option,12,"noun,verb",2
pack,12,"noun,verb,adjective",1
park,12,"noun,verb",1
plenty,12,"noun,adjective,adverb",2
quarter,12,"noun,verb,adjective",2
skin,12,"noun,verb",1
sort,12,"noun,verb",1
weight,12,"noun,verb",1
baby,11,"noun,verb,adjective",2
background,11,"noun,adjective",2
carry,11,"noun,verb",2
dish,11,"noun,verb,idiom",1
factor,11,"noun,verb",2
fruit,11,"noun,verb",1
glass,11,"noun,adjective,verb",1
joint,11,"noun,adjective,verb",1
master,11,"noun,adjective,verb",2
muscle,11,"noun,verb,adjective",2
red,11,"noun,adjective,idiom",1
strength,11,"noun,idiom",1
traffic,11,"noun,verb",2
trip,11,"noun,verb,idiom",1
vegetable,11,"noun,adjective",4
appeal,10,"noun,verb",2
chart,10,"noun,verb",1
gear,10,"noun,verb,adjective",1
ideal,10,"noun,adjective",2
kitchen,10,"noun,adjective",2
land,10,"noun,verb,idiom",1
log,10,"noun,verb",1
mother,10,"noun,adjective,verb",2
net,10,"noun,verb",1
party,10,"noun,adjective,verb",2
principle,10,"noun,idiom",3
relative,10,"noun,adjective",4
sale,10,"noun,idiom",1
season,10,"noun,verb,idiom",2
signal,10,"noun,adjective,verb",2
spirit,10,"noun,verb,idiom",2
street,10,"noun,adjective,idiom",1
tree,10,"noun,verb,idiom",1
wave,10,"noun,verb,idiom",1
belt,9,"noun,verb",1
bench,9,"noun,verb",1
commission,9,"noun,verb",3
copy,9,"noun,verb,idiom",2
drop,9,"noun,verb",1
minimum,9,"noun,adjective",3
path,9,"noun,idiom",1
progress,9,"noun,verb,idiom",2
project,9,"noun,verb",2
sea,9,"noun,adjective,idiom",1
south,9,"noun,adjective,adverb",1
status,9,"noun,adjective",2
stuff,9,"noun,verb",1
ticket,9,"noun,verb,idiom",2
tour,9,"noun,verb",1
angle,8,"noun,verb",2
blue,8,"noun,verb,adjective",1
breakfast,8,"noun,verb",2
confidence,8,"noun,idiom",4
daughter,8,"noun,adjective",2
degree,8,"noun,idiom",2
doctor,8,"noun,verb",2
dot,8,"noun,verb,idiom",1
dream,8,"noun,verb,adjective",1
duty,8,"noun,idiom",2
essay,8,"noun,verb",2
father,8,"noun,verb",2
fee,8,"noun,verb",1
finance,8,"noun,verb",3
hour,8,"noun,adjective,idiom",1
juice,8,"noun,verb,idiom",2
limit,8,"noun,verb",2
luck,8,"noun,verb,idiom",1
milk,8,"noun,verb,idiom",1
mouth,8,"noun,verb,idiom",1
peace,8,"noun,interjection,verb",2
pipe,8,"noun,verb",1
seat,8,"noun,verb",1
stable,8,"noun,verb",2
storm,8,"noun,verb,idiom",1
substance,8,"noun,idiom",3
team,8,"noun,verb,adjective",1
trick,8,"noun,adjective,verb",1
afternoon,7,"noun,adjective",3
bat,7,"noun,verb",1
beach,7,"noun,verb",1
blank,7,"noun,verb,adjective",1
catch,7,"noun,verb",1
chain,7,"noun,verb",1
consideration,7,"noun,idiom",5
cream,7,"noun,verb,adjective",1
crew,7,"noun,verb",1
detail,7,"noun,verb,idiom",2
gold,7,"noun,adjective",1
interview,7,"noun,verb",3
kid,7,"noun,verb,adjective",1
mark,7,"noun,verb,idiom",1
match,7,"noun,verb",1
mission,7,"noun,adjective",2
pain,7,"noun,verb,idiom",1
pleasure,7,"noun,verb",3
score,7,"noun,verb,idiom",2
screw,7,"noun,verb,idiom",1
sex,7,"noun,verb,idiom",1
shop,7,"noun,verb,interjection",1
shower,7,"noun,verb,idiom",2
suit,7,"noun,verb,idiom",1
tone,7,"noun,verb",1
window,7,"noun,verb",2
agent,6,"noun,adjective,verb",2
band,6,"noun,verb",1
block,6,"noun,verb",1
bone,6,"noun,verb,adverb",1
calendar,6,"noun,verb",3
cap,6,"noun,verb",1
coat,6,"noun,verb",1
contest,6,"noun,verb",2
corner,6,"noun,adjective,verb",2
court,6,"noun,verb,idiom",1
cup,6,"noun,verb",1
district,6,"noun,verb",2
door,6,"noun,idiom",1
east,6,"noun,adjective,adverb",1
finger,6,"noun,verb,idiom",2
garage,6,"noun,verb",3
guarantee,6,"noun,verb",3
hole,6,"noun,verb,idiom",1
hook,6,"noun,verb,idiom",1
implement,6,"noun,verb",3
layer,6,"noun,verb",1
lecture,6,"noun,verb",3
lie,6,"noun,verb,idiom",1
manner,6,"noun,idiom",2
meeting,6,"noun,idiom",2
nose,6,"noun,verb,idiom",1
parking,6,"noun,adjective",2
partner,6,"noun,verb",2
profile,6,"noun,verb",3
respect,6,"noun,verb",2
rice,6,"noun,verb",1
routine,6,"noun,adjective",3
schedule,6,"noun,verb",3
swimming,6,"noun,adjective",2
telephone,6,"noun,verb",4
tip,6,"noun,verb",1
winter,6,"noun,adjective,verb",2
airline,5,"noun,adjective",3
bag,5,"noun,verb",1
battle,5,"noun,verb",2
bed,5,"noun,verb",1
bill,5,"noun,verb",1
bother,5,"noun,verb",2
cake,5,"noun,verb",1
code,5,"noun,verb",1
curve,5,"noun,verb,idiom",2
designer,5,"noun,adjective",3
dimension,5,"noun,verb",3
dress,5,"noun,adjective,verb",1
ease,5,"noun,verb",1
emergency,5,"noun,adjective",4
evening,5,"noun,adjective",3
extension,5,"noun,adjective",3
farm,5,"noun,verb,idiom",1
fight,5,"noun,verb",1
gap,5,"noun,verb",1
grade,5,"noun,verb",2
holiday,5,"noun,adjective,verb",3
horror,5,"noun,adjective",2
horse,5,"noun,verb,adjective",2
host,5,"noun,verb",1
husband,5,"noun,verb",2
loan,5,"noun,verb,idiom",1
mistake,5,"noun,verb,idiom",3
mountain,5,"noun,adjective,idiom",2
nail,5,"noun,verb,idiom",1
noise,5,"noun,verb",2
occasion,5,"noun,verb,idiom",3
package,5,"noun,verb",3
patient,5,"noun,adjective",2
pause,5,"noun,verb,idiom",2
phrase,5,"noun,verb",2
proof,5,"noun,adjective,verb",1
race,5,"noun,verb",1
relief,5,"noun,idiom",2
sand,5,"noun,verb,idiom",1
sentence,5,"noun,verb",3
shoulder,5,"noun,verb,idiom",2
smoke,5,"noun,verb,idiom",2
stomach,5,"noun,verb",2
string,5,"noun,verb,idiom",1
tourist,5,"noun,adverb",2
towel,5,"noun,verb",2
vacation,5,"noun,verb",3
west,5,"noun,adjective,adverb",1
wheel,5,"noun,verb,idiom",1
wine,5,"noun,adjective,verb",1
arm,4,"noun,verb",1
aside,4,"noun,adverb",3
associate,4,"noun,verb,adjective",4
bet,4,"noun,verb",1
blow,4,"noun,verb",1
border,4,"noun,verb",2
branch,4,"noun,verb",1
breast,4,"noun,verb",1
brother,4,"noun,interjection",2
buddy,4,"noun,verb",2
bunch,4,"noun,verb",1
chip,4,"noun,verb",1
coach,4,"noun,verb,adverb",1
cross,4,"noun,verb,adjective",1
document,4,"noun,verb",3
draft,4,"noun,verb,adjective",1
dust,4,"noun,verb",1
expert,4,"noun,adjective",2
floor,4,"noun,verb",1
god,4,"noun,interjection",1
golf,4,"noun,verb",1
habit,4,"noun,verb",2
iron,4,"noun,verb",2
judge,4,"noun,verb",2
knife,4,"noun,verb",2
landscape,4,"noun,verb",3
league,4,"noun,verb",2
mail,4,"noun,verb",1
mess,4,"noun,verb",1
native,4,"noun,adjective",3
opening,4,"noun,adjective",3
parent,4,"noun,verb",2
pattern,4,"noun,verb",2
pin,4,"noun,verb",1
pool,4,"noun,verb",1
pound,4,"noun,verb",1
request,4,"noun,verb",2
salary,4,"noun,verb",3
shame,4,"noun,verb",2
shelter,4,"noun,verb",2
shoe,4,"noun,verb",1
silver,4,"noun,adjective,verb",2
tackle,4,"noun,verb",2
tank,4,"noun,verb",1
trust,4,"noun,verb",1
assist,3,"noun,verb",2
bake,3,"noun,verb",1
bar,3,"noun,verb,preposition",1
bell,3,"noun,verb",1
bike,3,"noun,verb",1
blame,3,"noun,verb",2
boy,3,"noun,interjection",1
brick,3,"noun,verb",1
chair,3,"noun,verb",1
closet,3,"noun,verb,adjective",2
clue,3,"noun,verb",1
collar,3,"noun,verb",2
comment,3,"noun,verb",2
conference,3,"noun,verb",4
devil,3,"noun,verb",2
diet,3,"noun,verb",1
fear,3,"noun,verb",1
fuel,3,"noun,verb",1
glove,3,"noun,verb",2
jacket,3,"noun,verb",2
lunch,3,"noun,verb",1
monitor,3,"noun,verb",3
mortgage,3,"noun,verb",3
nurse,3,"noun,verb",2
pace,3,"noun,verb,preposition",1
panic,3,"noun,verb",2
peak,3,"noun,verb,adjective",1
plane,3,"noun,adjective,verb",2
reward,3,"noun,verb",2
row,3,"noun,verb",1
sandwich,3,"noun,verb",2
shock,3,"noun,verb",1
spite,3,"noun,verb",2
spray,3,"noun,verb",1
surprise,3,"noun,verb",3
till,3,"noun,verb",1
transition,3,"noun,verb",3
weekend,3,"noun,verb",2
welcome,3,"noun,interjection,verb",3
yard,3,"noun,verb",1
alarm,2,"noun,verb",2
bend,2,"noun,verb",1
bicycle,2,"noun,verb",3
bite,2,"noun,verb",1
blind,2,"noun,verb,adjective",1
bottle,2,"noun,verb",2
cable,2,"noun,verb",2
candle,2,"noun,verb",2
clerk,2,"noun,verb",1
cloud,2,"noun,verb",1
concert,2,"noun,verb",2
counter,2,"noun,verb,adverb",2
flower,2,"noun,verb",2
grandfather,2,"noun,verb",3
harm,2,"noun,verb",1
knee,2,"noun,verb",1
lawyer,2,"noun,verb",2
leather,2,"noun,adjective,verb",2
load,2,"noun,verb",1
mirror,2,"noun,verb",2
neck,2,"noun,verb",1
pension,2,"noun,verb",2
plate,2,"noun,verb",2
purple,2,"noun,adjective,verb",2
ruin,2,"noun,verb",1
ship,2,"noun,verb",1
